Do you drive yourself or use a driver?,Do you attend on Sunday?,When you arrive to the campus on Sunday?,When you leave the campus on Sunday?,Do you attend on Monday?,When you arrive to the campus on Monday?,When you leave the campus on Monday?,Do you attend on Tuesday?,When you arrive to the campus on Tuesday?,When you leave the campus on Tuesday?,Parking Challenge Time,How satisfied are you with the availability of parking spaces on campus?,Provide any additional comments if you wish,Do you attend on Wednesday?,When you arrive to the campus on Wednesday?,When you leave the campus on Wednesday?,Do you attend on Thursday?,When you arrive to the campus on Thursday?,When you leave the campus on Thursday?
Driver.,Yes.,7:30 AM,2:00 PM,Yes.,8:00 AM,2:00 PM,Yes.,7:30 AM,2:00 PM,07:00 AM,3,,Yes.,8:00 AM,12:00 PM,Yes.,7:30 AM,2:00 PM
Drive yourself.,Yes.,7:00 AM,12:00 PM,Yes.,7:00 AM,12:00 PM,Yes.,7:30 AM,12:00 PM,07:00 AM,2,,Yes.,8:30 AM,12:00 PM,Yes.,7:00 AM,12:00 PM
Drive yourself.,Yes.,7:00 AM,12:00 PM,Yes.,12:00 PM,12:30 PM,Yes.,7:30 AM,12:30 PM,08:00 AM,1,Our cars get extremely hot after sitting in the sun all day. Adding shades over the parking lot would help protect them. Could you please consider this?,Yes.,8:00 AM,12:30 PM,Yes.,7:30 AM,12:30 PM
Drive yourself.,No.,,,Yes.,7:00 AM,3:00 PM,Yes.,7:00 AM,3:00 PM,07:30 AM,2,,Yes.,7:00 AM,3:00 PM,No.,,
Drive yourself.,Yes.,8:00 AM,12:00 PM,Yes.,8:00 AM,12:00 PM,Yes.,8:00 AM,11:00 AM,08:00 AM,2,,Yes.,8:00 AM,12:00 PM,Yes.,8:00 AM,12:00 PM
Driver.,Yes.,7:30 AM,12:00 PM,Yes.,7:30 AM,12:00 PM,Yes.,7:30 AM,12:00 PM,08:00 AM,1,,Yes.,7:30 AM,12:00 PM,Yes.,7:30 AM,12:00 PM
Driver.,Yes.,9:30 AM,4:00 PM,Yes.,7:00 AM,4:00 PM,Yes.,9:30 AM,4:00 PM,08:00 AM,5,Because I go with a driver he just can park in front of the gate then I go out of the car heading inside,Yes.,9:30 AM,4:00 PM,Yes.,9:30 AM,2:00 PM
Driver.,Yes.,8:00 AM,2:30 PM,No.,,,Yes.,8:00 AM,2:30 PM,08:00 AM,1,,No.,,,Yes.,8:00 AM,11:30 AM
Driver.,Yes.,7:00 AM,2:00 PM,Yes.,9:00 AM,12:00 PM,Yes.,7:30 AM,2:00 PM,08:00 AM,3,,No.,,,Yes.,9:00 AM,2:00 PM
Drive yourself.,Yes.,8:30 AM,4:00 PM,Yes.,8:30 AM,4:00 PM,Yes.,10:00 AM,4:00 PM,08:30 AM,1,,Yes.,10:00 AM,4:00 PM,Yes.,8:30 AM,2:00 PM
Drive yourself.,Yes.,8:00 AM,10:00 AM,No.,,,Yes.,8:00 AM,10:00 AM,08:00 AM,1,"It is not possible for me as a women to walk on this very hot and sunny weather while the male students campus has a shaded parking slots, it’s an essential thing for any human being living in this whether",Yes.,8:00 AM,10:00 AM,Yes.,8:00 AM,10:00 AM
Both.,Yes.,7:00 AM,2:00 PM,Yes.,9:30 AM,3:00 PM,Yes.,7:00 AM,3:00 PM,08:00 AM,1,,Yes.,10:00 AM,12:30 PM,Yes.,7:00 AM,12:30 PM
Drive yourself.,Yes.,8:00 AM,12:00 PM,Yes.,8:00 AM,12:00 PM,Yes.,8:00 AM,12:00 PM,09:30 AM,2,"I am lucky that my classes starts at 8 because it’s almost  full at that time but i find a parking
But at 12pm when I leave it happened more than once there’s students come up to me to ask me if they can take the parking i left my car at that means they have been waiting forever and definitely are late to their classes.
I sincerely hope that there will be actions to the problem 
Also there should be carport in every parking 
السلام عليكم
انا محظوظه ان وقت دوامي 8 لكن لما اطلع وهذا الشي صار امثر من مره دايم فيه بنات يسالون وين وقفت سيارتي عشان يجون وياخذون موقفي هذا يعني انهم تحت الشمس متاخرين عن كلاساتهم بس عشان موقف
انا دايم الاقي لكن ما اضمن الاترام الجايه متى رح يكون دوامي ومع الاسف اشوف كثير يوقفون فاماكن غلط وياخذون مخالفه بالرغم ان مافي اي مكان ثاني اتمنى يكون فيه مشكله للحل فاقرب وقت لان الاغلب صاير يسوق 
برضو اشوف فيه مواقف فيها مظلات لكن مو القريبه من كليتي فاقترح مع الحر هذا ضروري يكون فيه مظلات",Yes.,8:00 AM,12:00 PM,Yes.,8:00 AM,12:00 PM
Drive yourself.,Yes.,8:00 AM,3:00 PM,No.,,,Yes.,8:00 AM,3:00 PM,08:00 AM,1,,Yes.,8:00 AM,12:00 PM,Yes.,8:00 AM,3:00 PM
Driver.,Yes.,9:30 AM,2:00 PM,No.,,,Yes.,7:30 AM,2:00 PM,08:00 AM,2,,Yes.,7:30 AM,3:00 PM,Yes.,7:30 AM,2:00 PM
Both.,Yes.,8:00 AM,2:30 PM,No.,,,Yes.,8:00 AM,3:00 PM,08:00 AM,1,,No.,,,Yes.,8:00 AM,2:30 PM
Driver.,Yes.,9:30 AM,4:00 PM,Yes.,9:30 AM,3:00 PM,Yes.,10:30 AM,4:00 PM,08:00 AM,3,,Yes.,1:00 PM,4:00 PM,Yes.,10:30 AM,4:00 PM
Drive yourself.,Yes.,8:00 AM,12:30 PM,Yes.,8:00 AM,11:00 AM,Yes.,8:00 AM,12:30 PM,08:00 AM,5,نحتاج مظلات على المواقف,Yes.,8:00 AM,12:30 PM,Yes.,8:00 AM,12:30 PM
Drive yourself.,Yes.,6:00 AM,3:00 PM,Yes.,6:00 AM,1:00 PM,Yes.,6:00 AM,12:00 PM,09:00 AM,3,The gate gets really busy after 1 pm when people are leaving so they should do something about that,No.,,,Yes.,6:00 AM,1:00 PM
Driver.,Yes.,9:30 AM,1:00 PM,No.,,,Yes.,9:30 AM,2:00 PM,09:00 AM,2,عندما اتي مع صديقتي في الكلية تضطر توقف في الشمس بمكان بعيد يبعد عن الصالة ٣ ب١٠د مشي على الاقدام وفي الشمس، فياليت لو تكون مواقفنا بالمقدمة محكورة على الطالبات وليس السواقين وتكون مظلله مثل كليات الاولاد,Yes.,7:30 AM,10:00 AM,Yes.,9:30 AM,4:00 PM
Drive yourself.,Yes.,8:00 AM,3:00 PM,No.,,,Yes.,8:00 AM,3:00 PM,08:05 AM,1,Sometimes im just 5 minutes late i arrive (8:05) and the parking is already full and i have to park in other gates and walk long distances,No.,,,Yes.,8:00 AM,12:00 PM
Drive yourself.,Yes.,8:00 AM,2:00 PM,Yes.,9:30 AM,12:00 PM,Yes.,8:00 AM,12:30 PM,09:00 AM,2,,No.,,,Yes.,8:00 AM,1:30 PM
Driver.,Yes.,7:30 AM,12:00 PM,Yes.,7:30 AM,2:00 PM,Yes.,7:30 AM,12:00 PM,09:00 AM,1,,Yes.,7:30 AM,12:00 PM,Yes.,7:30 AM,2:30 PM
Driver.,Yes.,8:00 AM,3:00 PM,No.,,,Yes.,8:00 AM,12:00 PM,09:00 AM,1,,No.,,,Yes.,8:00 AM,3:00 PM
Driver.,Yes.,7:30 AM,12:00 PM,No.,,,Yes.,7:30 AM,2:00 PM,09:00 AM,1,,No.,,,Yes.,7:30 AM,12:00 PM
Driver.,Yes.,8:00 AM,1:30 PM,No.,,,Yes.,7:30 AM,12:00 PM,09:00 AM,2,,No.,,,Yes.,8:00 AM,11:30 AM
Driver.,Yes.,10:00 AM,2:00 PM,No.,,,Yes.,10:00 AM,2:00 PM,09:00 AM,1,,Yes.,8:00 AM,12:00 PM,Yes.,10:00 AM,2:00 PM
Drive yourself.,Yes.,9:30 AM,2:00 PM,Yes.,9:30 AM,4:00 PM,Yes.,8:00 AM,2:00 PM,09:00 PM,1,Difficulty in finding parking spots anytime past 8am.,Yes.,8:00 AM,3:00 PM,Yes.,8:30 AM,2:00 PM
